CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
310			28.5	Herbaceous	Geophyte_Hemicryptophyte	2	3	2	2	1	2.5		
315				Herbaceous	Therophyte		4	1	3	1	2.5		
321	1.5	5	51.5	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	2.5	1	2.5	3	4
323				unknown									4
362		2	50	Herbaceous	Geophyte_Hemicryptophyte	4	4	1	4	1	3	1	
365		3	25	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2	1	1.5	1	
368			30	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2.5	1	2	1	
372		2	36.5	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	2.5		
375			180	Herbaceous	Geophyte_Hemicryptophyte	2			3				
384				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	1		
390				unknown	Geophyte_Hemicryptophyte		5	1	3	1	1		
391			120	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	2.5		
410	2.5		250	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	4.5	2	3.5	3	
414			5.35	Herbaceous	Geophyte_Hemicryptophyte	3	5	1	1.5	1	2.5	2	
419	3	15	59	Herbaceous	Geophyte_Hemicryptophyte	7	3	2	3.5	1	3	4	4
420				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3	3	
423	3		150	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	4	2	3.5	3	4
426				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	2.5	3	
428				Herbaceous	Geophyte_Hemicryptophyte		4	2	4	1	2.5	3	
429				unknown		7							
433				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	4.5	2	
437			21.5	Herbaceous	Geophyte_Hemicryptophyte	1	3	1	2	1	4.5	2	
438	3	6	63.5	Herbaceous	Geophyte_Hemicryptophyte		3	1	4	1	3	2	4
442				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	2		
445		7	51.5	Herbaceous	Geophyte_Hemicryptophyte	3	5	1	1.5	1	2	2	
446	3		26	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	1.5	1	2	2	4
449	3	5	44.65	Herbaceous	Geophyte_Hemicryptophyte	5	3	1	2.5	1	2.5	2	4
454				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	3.5	2	
455			52.5	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	2	1	3.5	2	
457	3		24	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	2	1	2	2	4
459				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3		
479	2	7	24	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	2	1	2.5	3	4
484			60	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	3	1	2	2	
487		5	80	Herbaceous	Geophyte_Hemicryptophyte	7	3	1	4	1	3	2	
488				Herbaceous	Therophyte		3	1	3	1	2.5		
490			30	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	3.5	1	5	2	
491				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	5	2	
492			50	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	4.5	2	
493				unknown	Geophyte_Hemicryptophyte		4	1	4	1	5	2	
497			85	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	4.5	2	
499			38	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	3	1	4	2	
503				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	2	
504			69	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	3	1	4	2	
506			110	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	3	1	2		
507			15	Herbaceous	Therophyte	6	4	1	3	1	2		
508			34	Herbaceous	Therophyte	6	4	1	3	1	1		
515	1.5		62.5	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	4	1	2.5	2	
518			80	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	3.5	1	2.5	2	
519			80	Herbaceous	Geophyte_Hemicryptophyte	3	3	2	3.5	1	3	2	
522				Herbaceous	Geophyte_Hemicryptophyte		4	1	4	1	2.5	4	
532				Herbaceous	Geophyte_Hemicryptophyte		3	2	2	1	2	1	
534				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	2.5	1	
554				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	2.5		
555				Herbaceous	Therophyte		4	1	3	1	2		
561	3	8	55	Herbaceous	Geophyte_Hemicryptophyte	7	3	1	3.5	1	3.5	3	4
563				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	2	2	
564	1		30	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	2	1	2	2	
571			50	Herbaceous	Chamaephyte_H	2	4	1	1.5	1	1.5		
572		3	94	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	4	1	3.5		
579			40	Herbaceous	Chamaephyte_H	2	4	1	2	1	2		
584				Herbaceous	Therophyte		5	1	2	1	2		
586		7	23	Herbaceous	Geophyte_Hemicryptophyte	6	2	1	3	1	3		
590				Herbaceous	Therophyte		5	1	3	1	1.5		
603			15	Herbaceous	Therophyte	6	4	1	2.5	1	1.5		
605			18	Herbaceous	Therophyte	6	4	1	3	1	1.5		
606			16	Herbaceous	Therophyte	6	4	1	1.5	1	1		
609			50	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	2	1	4	2	
617				unknown	Geophyte_Hemicryptophyte		4	1	2	1	1	2	
618	3			Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2	1	1	2	
619			50	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2	1	1	2	
627			30	Herbaceous	Chamaephyte_H	2	4	1	1.5	1	1.5	2	
629		17		Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	1		
633				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2	2	
640			50	Herbaceous	Geophyte_Hemicryptophyte	2			2				
645			40	Herbaceous	Geophyte_Hemicryptophyte	2	5	1	2.5	1	1.5	2	
647			55	Herbaceous	Geophyte_Hemicryptophyte	5	4	1	2.5	1	3.5	3	
652			70	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	3	1	2.5		
659	2		83	Herbaceous	Helophyte_Hydrophyte	1	3	1	3.5	1	4.5	2	
