"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Carduus personata (L.) Jacq., 1776",0.5,2,2,0,0.5,0.5,2,"all"
"Carex acutiformis Ehrh.",15,1,2,0,7.75,7.75,2,"all"
"Carex atrata L. subsp. atrata",37.5,1,4,1,0.5,9.75,4,"all"
"Carex bicolor All.",15,1,3,0,0.5,5.33333333333333,3,"all"
"Carex brunnescens (Pers.) Poiret",37.5,1,1,1,37.5,37.5,1,"all"
"Carex capillaris L.",15,1,5,0,0.5,3.4,5,"all"
"Carex caryophyllea Latourr.",37.5,2,15,2,0.5,6.4,15,"all"
"Carex curta Good",37.5,3,14,3,0.5,11.5357142857143,14,"all"
"Carex curvula All.",0.5,1,1,0,0.5,0.5,1,"all"
"Carex curvula All. subsp. curvula",62.5,3,24,12,26.25,25.75,24,"all"
"Carex curvula All. subsp. rosae Gilomen",37.5,1,1,1,37.5,37.5,1,"all"
"Carex davalliana Sm.",37.5,16,35,16,15,20.3142857142857,35,"all"
"Carex digitata L.",37.5,1,4,1,7.75,13.375,4,"all"
"Carex divulsa Stokes",37.5,1,1,1,37.5,37.5,1,"all"
"Carex echinata Murray",37.5,33,58,33,37.5,22.301724137931,58,"all"
"Carex ferruginea Scop.",37.5,5,13,5,15,18.0769230769231,13,"all"
"Carex flacca Schreber",37.5,5,22,5,0.5,11.5454545454545,22,"all"
"Carex flacca Schreber subsp. flacca",0.5,1,1,0,0.5,0.5,1,"all"
"Carex flava groupe",37.5,2,2,2,37.5,37.5,2,"all"
"Carex flava L.",37.5,6,20,6,0.5,13.05,20,"all"
"Carex foetida All.",37.5,12,19,12,37.5,26.1578947368421,19,"all"
"Carex frigida All.",37.5,12,26,12,15,19.8076923076923,26,"all"
"Carex halleriana Asso",0.5,2,2,0,0.5,0.5,2,"all"
"Carex hirta L.",37.5,1,1,1,37.5,37.5,1,"all"
"Carex hostiana DC.",15,1,3,0,0.5,5.33333333333333,3,"all"
"Carex lachenalii Schkuhr",37.5,2,2,2,37.5,37.5,2,"all"
"Carex lasiocarpa Ehrh.",15,1,1,0,15,15,1,"all"
"Carex limosa L.",62.5,1,9,8,37.5,36.1666666666667,9,"all"
"Carex liparocarpos Gaudin, 1804",37.5,1,4,1,0.5,9.75,4,"all"
"Carex magellanica Lam. subsp. irrigua (Wahlenb.) Hiitonen",37.5,2,5,2,15,21.1,5,"all"
"Carex maritima Gunnerus, 1772",37.5,1,1,1,37.5,37.5,1,"all"
"Carex microglochin Wahlenb.",37.5,2,6,2,7.75,15.25,6,"all"
"Carex montana L.",37.5,1,2,1,19,19,2,"all"
"Carex nigra (L.) Reichard",62.5,8,98,49,26.25,25.3316326530612,98,"all"
"Carex ornithopoda Willd.",0.5,4,4,0,0.5,0.5,4,"all"
"Carex ornithopoda Willd. subsp. ornithopoda",0.5,1,1,0,0.5,0.5,1,"all"
"Carex ornithopoda Willd. subsp. ornithopodioides (Hausm.) Nyman",0.5,1,1,0,0.5,0.5,1,"all"
"Carex ovalis Good.",37.5,2,15,2,0.5,9.3,15,"all"
"Carex pairae F.W. Schultz",0.5,2,2,0,0.5,0.5,2,"all"
"Carex pallescens L.",37.5,5,17,5,0.5,11.3823529411765,17,"all"
"Carex panicea L.",37.5,8,37,8,0.5,12.4189189189189,37,"all"
"Carex paniculata L.",62.5,1,12,8,37.5,30.875,12,"all"
"Carex parviflora Host",37.5,1,8,1,0.5,5.125,8,"all"
"Carex pauciflora Lighft.",37.5,5,14,5,15,18.8928571428571,14,"all"
"Carex pendula Hudson",37.5,1,1,1,37.5,37.5,1,"all"
"Carex pilulifera L.",37.5,2,8,2,0.5,9.75,8,"all"
"Carex rostrata Stokes",62.5,2,48,29,37.5,26.0104166666667,48,"all"
"Carex sempervirens Vill. subsp. sempervirens",37.5,22,60,22,15,16.4833333333333,60,"all"
"Carex spicata Hudson",15,1,1,0,15,15,1,"all"
"Carex sylvatica Hudson",37.5,1,6,1,0.5,6.66666666666667,6,"all"
"Carex viridula Michaux subsp. brachyrrhyncha (Celak.) B. Schmid",37.5,3,6,3,26.25,21.4166666666667,6,"all"
"Carex viridula Michaux subsp. viridula",0.5,1,1,0,0.5,0.5,1,"all"
"Carlina acaulis L. subsp. caulescens (Lam.) Sch.bl. & Martens",37.5,1,19,1,0.5,2.44736842105263,19,"all"
"Carlina vulgaris L. subsp. vulgaris",0.5,1,1,0,0.5,0.5,1,"all"
"Carpinus betulus L.",37.5,1,2,1,19,19,2,"all"
"Carum carvi L.",37.5,2,20,2,0.5,7.825,20,"all"
"Castanea sativa Miller",15,1,3,0,0.5,5.33333333333333,3,"all"
"Centaurea jacea groupe",0.5,6,6,0,0.5,0.5,6,"all"
"Centaurea jacea L.",37.5,10,25,10,0.5,15.88,25,"all"
"Centaurea montana L.",37.5,1,2,1,19,19,2,"all"
"Centaurea scabiosa L.",37.5,9,31,9,0.5,12.6451612903226,31,"all"
"Centaurea uniflora Turra subsp. nervosa (Willd.) Bonnier & Layens",37.5,7,21,7,0.5,13.5238095238095,21,"all"
"Centaurea uniflora Turra subsp. uniflora",37.5,2,3,2,37.5,25.1666666666667,3,"all"
"Centranthus angustifolius (Miller) DC.",15,1,1,0,15,15,1,"all"
"Cephalanthera rubra (L.) L.C.M. Richard",0.5,1,1,0,0.5,0.5,1,"all"
"Cerastium arvense L.",0.5,1,1,0,0.5,0.5,1,"all"
"Cerastium arvense L. subsp. strictum (Koch) Gremli",0.5,27,27,0,0.5,0.5,27,"all"
"Cerastium arvense L. var. strictum Koch (b.)",37.5,1,7,1,0.5,5.78571428571429,7,"all"
"Cerastium cerastoides (L.) Britton",37.5,2,9,2,0.5,10.3333333333333,9,"all"
"Cerastium fontanum Baumg. subsp. vulgare (Hartm.) Greuter & Burdet",37.5,1,17,1,0.5,2.67647058823529,17,"all"
"Cerastium latifolium L.",0.5,1,1,0,0.5,0.5,1,"all"
"Cerastium pedunculatum Gaudin",0.5,1,1,0,0.5,0.5,1,"all"
"Cerastium tomentosum L.",0.5,1,1,0,0.5,0.5,1,"all"
"Cervaria rivini Gaetner",15,1,3,0,0.5,5.33333333333333,3,"all"
"Chaerophyllum aureum L.",37.5,3,10,3,15,15.95,10,"all"
"Chaerophyllum hirsutum L.",62.5,1,26,14,37.5,24.1730769230769,26,"all"
"Chaerophyllum villarsii Koch",37.5,5,18,5,15,14.8055555555556,18,"all"
"Chenopodium album L. subsp. album",37.5,1,6,1,0.5,6.66666666666667,6,"all"
"Chenopodium bonus-henricus L.",37.5,4,11,4,15,16.5909090909091,11,"all"
"Chondrilla juncea L.",37.5,1,1,1,37.5,37.5,1,"all"
"Cicerbita alpina (L.) Wallr.",37.5,3,8,3,15,18,8,"all"
"Circaea lutetiana L., 1753",0.5,1,1,0,0.5,0.5,1,"all"
"Cirsium acaule Scop.",0.5,8,8,0,0.5,0.5,8,"all"
"Cirsium arvense (L.) Scop.",0.5,2,2,0,0.5,0.5,2,"all"
"Cirsium eriophorum (L.) Scop.",37.5,1,5,1,0.5,7.9,5,"all"
"Cirsium oleraceum (L.) Scop.",0.5,5,5,0,0.5,0.5,5,"all"
"Cirsium palustre (L.) Scop.",37.5,4,17,4,0.5,11.7647058823529,17,"all"
"Cirsium spinosissimum (L.) Scop.",37.5,7,23,7,0.5,13.6521739130435,23,"all"
"Cirsium vulgare (Savi) Ten. subsp. vulgare",0.5,3,3,0,0.5,0.5,3,"all"
"Clinopodium vulgare L.",37.5,7,20,7,0.5,13.45,21,"all"
"Coeloglossum viride (L.) Hartman",0.5,6,6,0,0.5,0.5,6,"all"
"Colchicum alpinum DC.",0.5,1,1,0,0.5,0.5,1,"all"
"Colchicum autumnale L.",37.5,2,14,2,0.5,5.78571428571429,14,"all"
"Convolvulus arvensis L.",37.5,1,9,1,0.5,6.22222222222222,9,"all"
"Cornus sanguinea L.",37.5,3,8,3,7.75,16.1875,8,"all"
"Corylus avellana L.",37.5,4,17,4,15,13.4705882352941,17,"all"
"Cotoneaster integerrimus Medik.",0.5,1,1,0,0.5,0.5,1,"all"
"Cotoneaster pyrenaicus Gandoger",0.5,1,1,0,0.5,0.5,1,"all"
"Crataegus monogyna Jacq.",37.5,1,7,1,0.5,7.85714285714286,7,"all"
