"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
1459,1,6,6,0,1,1,222,"all"
7712,1,3,3,0,1,1,126,"all"
13816,2,7,40,0,1,1.175,900,"all"
40488,5,1,110,0,1,1.49090909090909,2517,"all"
2856,NA,NA,NA,NA,NA,NA,3,"all"
5406,1,5,5,0,1,1,69,"all"
17144,1,2,2,0,1,1,45,"all"
362,2,1,2,0,1.5,1.5,85,"all"
12659,5,19,129,0,2,2.41085271317829,2186,"all"
11273,1,8,8,0,1,1,218,"all"
8377,4,2,11,0,2,2.27272727272727,340,"all"
10257,2,1,8,0,1,1.125,76,"all"
13310,2,4,9,0,1,1.44444444444444,247,"all"
3592,5,2,350,0,1,1.45142857142857,3785,"all"
3367,NA,NA,NA,NA,NA,NA,3,"all"
10180,3,1,1,0,3,3,22,"all"
508,NA,NA,NA,NA,NA,NA,3,"all"
3277,5,1,33,0,2,1.96969696969697,669,"all"
5598,1,1,1,0,1,1,4,"all"
5232,4,2,61,0,1,1.49180327868852,1428,"all"
5742,4,9,101,0,1,1.65346534653465,840,"all"
3768,NA,NA,NA,NA,NA,NA,3,"all"
3895,NA,NA,NA,NA,NA,NA,3,"all"
3025,1,5,5,0,1,1,35,"all"
5156,1,32,32,0,1,1,183,"all"
40533,2,1,11,0,1,1.09090909090909,344,"all"
5640,1,5,5,0,1,1,463,"all"
40178,2,1,14,0,1,1.07142857142857,2063,"all"
2124,2,9,37,0,1,1.24324324324324,450,"all"
11325,2,4,8,0,1.5,1.5,78,"all"
8678,1,14,14,0,1,1,653,"all"
40217,2,1,6,0,1,1.16666666666667,47,"all"
8258,2,2,24,0,1,1.08333333333333,585,"all"
40583,2,5,29,0,1,1.17241379310345,661,"all"
7958,3,1,9,0,2,1.66666666666667,225,"all"
17165,1,1,1,0,1,1,123,"all"
2429,5,1,72,0,1,1.52777777777778,610,"all"
797,3,10,446,0,1,1.28251121076233,2585,"all"
15959,1,2,2,0,1,1,21,"all"
3475,4,1,43,0,1,1.37209302325581,224,"all"
