code_cbna	libelle
14056	Carex paniculata L.
14064	Carex pilulifera L.
14077	Carex pulicaris L.
14085	Carex remota L.
14088	Carex riparia Curtis
14090	Carex rostrata Stokes
14119	Carex tomentosa L.
14126	Carex vesicaria L.
14132	Carex viridula Michaux subsp. viridula
14136	Carex vulpina L.
14188	Eleocharis palustris (L.) Roemer & Schultes
14193	Eleocharis quinqueflora (F.X. Hartmann) O. Schwarz
14194	Eleocharis uniglumis (Link) Schultes
14204	Eriophorum latifolium Hoppe
14210	Eriophorum vaginatum L.
14234	Rhynchospora alba (L.) Vahl
14235	Rhynchospora fusca (L.) Aiton fil.
14246	Schoenus ferrugineus L.
14249	Schoenus nigricans L.
14307	Scirpus sylvaticus L.
14316	Trichophorum cespitosum (L.) Hartman subsp. cespitosum
14367	Muscari botryoides (L.) Miller
14399	Ornithogalum umbellatum L.
14513	Iris pseudacorus L.
14566	Juncus acutiflorus Enrh. ex Hoffm.
14576	Juncus articulatus L.
14585	Juncus bufonius L.
14600	Juncus compressus Jacq.
14603	Juncus conglomeratus L.
14605	Juncus effusus L.
14607	Juncus filiformis L.
14616	Juncus inflexus L.
14642	Juncus squarrosus L.
14645	Juncus subnodulosus Schrank
14655	Juncus tenuis Willd.
14671	Luzula campestris (Ehrh.) Lej.
14697	Luzula multiflora (Ehrh.) Lej.
14722	Luzula sylvatica (Hudson) Gaudin
14755	Fritillaria meleagris L.
14854	Tofieldia calyculata (L.) Wahlenb.
14864	Anacamptis pyramidalis (L.) L.C.M. Richard
14877	Coeloglossum viride (L.) Hartman
14894	Dactylorhiza incarnata (L.) Soó
14908	Dactylorhiza maculata (L.) Soó
14938	Epipactis helleborine (L.) Crantz
14950	Epipactis palustris (L.) Crantz
14965	Gymnadenia conopsea (L.) R. Br. in Aiton fil.
14969	Gymnadenia odoratissima (L.) L.C.M. Richard
14973	Herminium monorchis (L.) R. Br.
14974	Himantoglossum hircinum (L.) Sprengel
14980	Liparis loeselii (L.) L.C.M. Richard
14982	Listera ovata (L.) R. Br.
15012	Ophrys apifera Hudson
15022	Ophrys aranifera Hudson
15057	Ophrys insectifera L.
15156	Orchis mascula (L.) L.
15162	Orchis militaris L.
15187	Orchis purpurea Hudson
15208	Platanthera bifolia (L.) L.C.M. Richard
15211	Platanthera chlorantha (Custer) Reichenb.
15243	Spiranthes aestivalis (Poiret) L.C.M. Richard
15245	Spiranthes spiralis (L.) Chevall.
15351	Agrostis rupestris All.
15363	Agrostis stolonifera L.
15431	Alopecurus geniculatus L.
15437	Alopecurus pratensis L.
15465	Anthoxanthum odoratum L.
15482	Arrhenatherum elatius (L.) P. Beauv. ex J. & C. Presl subsp. elatius
15627	Brachypodium sylvaticum (Hudson) P. Beauv. subsp. sylvaticum
15630	Briza media L.
15654	Bromus erectus Hudson
15666	Bromus hordeaceus L. subsp. hordeaceus
15674	Bromus inermis Leyss.
15695	Bromus racemosus L.
15698	Bromus ramosus Hudson
15725	Calamagrostis epigejos (L.) Roth
15780	Corynephorus canescens (L.) P. Beauv.
15794	Cynosurus cristatus L.
15813	Dactylis glomerata L.
15840	Deschampsia cespitosa (L.) P. Beauv. subsp. cespitosa
15944	Elytrigia repens (L.) Desv. ex Nevski
15993	Festuca arundinacea Schreber
16136	Festuca nigrescens Lam.
16151	Festuca ovina L.
16159	Festuca ovina L. subsp. guestfalica (Reichenb.) K. Richter
16203	Festuca pratensis Hudson subsp. pratensis
16219	Festuca rubra L.
16317	Glyceria fluitans (L.) R. Br.
16325	Glyceria maxima (Hartman) Holmberg
16368	Holcus lanatus L.
16396	Hordeum murinum L.
16403	Hordeum secalinum Schreber
16434	Koeleria pyramidata (Lam.) P. Beauv.
16461	Lolium multiflorum Lam.
16465	Lolium perenne L.
16625	Phalaris arundinacea L. subsp. arundinacea
16662	Phleum phleoides (L.) Karsten
16663	Phleum pratense L.
16676	Phragmites australis (Cav.) Steudel
16701	Poa angustifolia L.
16702	Poa annua L.
16725	Poa chaixii Vill. in Gilib.
16786	Poa trivialis L.
16928	Stipa capillata L.
16975	Trisetum flavescens (L.) P. Beauv. subsp. flavescens
17137	Scheuchzeria palustris L.
17171	Typha minima Funck
17641	Equisetum arvense L.
17655	Equisetum telmateia Ehrh.
17656	Equisetum variegatum Schleicher
17703	Lycopodiella inundata (L.) Holub
17737	Ophioglossum vulgatum L.
40190	Carduus defloratus L. subsp. defloratus
40352	Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase
40355	Neotinea ustula (L.) R.M.Bateman, Pridgeon & M.W.Cha.
40413	Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W
40415	Angelica sylvestris L. subsp. sylvestris
40447	Cirsium vulgare (Savi) Ten. subsp. vulgare
40514	Carex elata All., 1785
